id_pelanggan,gender,status_member,level_loyalitas,kota,kategori_produk,usia,lama_member_bln,jumlah_transaksi,total_klik,rata_rating,total_belanja
CUST0244,Laki-laki,Member,Silver,Bekasi,Kecantikan,52.0,73.0,39.0,159.0,3.2,17748.3
CUST0245,Perempuan,Member,Bronze,Surabaya,Mainan Anak,25.0,81.0,47.0,192.0,4.1,17683.87
CUST0246,Perempuan,Non-Member,Bronze,Bekasi,Otomotif,27.0,21.0,98.0,411.0,4.5,26091.99
CUST0247,Perempuan,Member,Bronze,Tangerang,Kesehatan,28.0,48.0,30.0,119.0,3.7,11245.78
CUST0248,Perempuan,Member,Gold,Depok,Elektronik,27.0,2.0,109.0,426.0,3.6,48058.47
CUST0249,Perempuan,Non-Member,Silver,Semarang,Mainan Anak,56.0,4.0,14.0,58.0,4.8,4650.46
CUST0250,Laki-laki,Member,Silver,Tangerang,Makanan,43.0,2.0,112.0,426.0,3.7,39386.35
CUST0251,Laki-laki,Non-Member,Gold,Semarang,Travel,40.0,67.0,97.0,375.0,3.3,40271.59
CUST0252,Perempuan,Non-Member,Platinum,Surabaya,Makanan,47.0,1.0,38.0,159.0,,19554.44
CUST0253,Perempuan,Member,Silver,Depok,Kesehatan,22.0,29.0,67.0,269.0,3.3,25268.07
CUST0254,Laki-laki,Non-Member,Silver,Bogor,Kesehatan,45.0,36.0,23.0,94.0,4.8,8925.59
CUST0255,Laki-laki,Non-Member,Gold,Semarang,Elektronik,26.0,31.0,104.0,416.0,2.7,40288.12
CUST0256,Perempuan,Member,Silver,Batam,Travel,19.0,18.0,37.0,146.0,3.4,13133.43
CUST0257,Perempuan,Non-Member,Silver,Palembang,Travel,54.0,0.0,83.0,319.0,2.6,25809.4
CUST0258,Perempuan,Member,Silver,Tangerang,Kecantikan,22.0,23.0,33.0,132.0,2.7,12699.81
CUST0259,Perempuan,Non-Member,Bronze,Bandung,Makanan,55.0,56.0,68.0,268.0,3.2,20679.92
CUST0260,Laki-laki,Member,Gold,Semarang,Buku,,,56.0,219.0,4.4,25607.53
CUST0261,Laki-laki,Non-Member,Bronze,Medan,Travel,39.0,8.0,42.0,176.0,4.4,11267.6
CUST0262,Laki-laki,Member,Silver,Makassar,Elektronik,,59.0,63.0,242.0,3.2,25440.08
CUST0263,Perempuan,Member,Gold,Bogor,Elektronik,35.0,76.0,53.0,206.0,3.1,26900.88
CUST0264,Perempuan,Member,Silver,Bekasi,Gaming,49.0,40.0,101.0,405.0,4.5,36954.45
CUST0265,Laki-laki,Non-Member,Silver,Bandung,Elektronik,56.0,38.0,88.0,347.0,4.5,28885.21
CUST0266,Perempuan,Member,Silver,Yogyakarta,Kecantikan,53.0,54.0,64.0,250.0,3.1,25175.61
CUST0267,Perempuan,Member,Platinum,Batam,Makanan,40.0,17.0,6.0,23.0,4.3,5023.6
CUST0268,Laki-laki,Member,Silver,Medan,Travel,40.0,82.0,12.0,49.0,3.9,8582.31
CUST0269,Perempuan,Non-Member,Gold,Malang,Buku,19.0,34.0,78.0,301.0,3.5,30846.64
CUST0270,Laki-laki,Member,Gold,Palembang,Perabot Rumah,31.0,11.0,9.0,36.0,4.0,4274.99
CUST0271,Perempuan,Non-Member,Bronze,Palembang,Kesehatan,30.0,30.0,35.0,147.0,3.4,10877.68
CUST0272,Perempuan,Member,Silver,Surabaya,Gaming,39.0,49.0,66.0,255.0,3.4,25505.95
CUST0273,Laki-laki,Non-Member,Gold,Makassar,Olahraga,55.0,20.0,7.0,28.0,4.0,4248.3
CUST0274,Laki-laki,Member,Silver,Malang,Kecantikan,35.0,52.0,79.0,315.0,3.9,29589.77
CUST0275,Laki-laki,Non-Member,Platinum,Batam,Elektronik,24.0,1.0,77.0,294.0,3.8,38899.59
CUST0276,Laki-laki,Non-Member,Gold,Bandung,Kesehatan,22.0,71.0,43.0,170.0,3.6,19710.54
CUST0277,Laki-laki,Non-Member,Silver,Bogor,Makanan,34.0,12.0,60.0,252.0,2.7,18996.49
CUST0278,Perempuan,Member,Bronze,Pekanbaru,Fashion,49.0,44.0,117.0,462.0,2.8,35850.96
CUST0279,Laki-laki,Member,Bronze,Semarang,Gaming,33.0,50.0,19.0,79.0,4.3,7737.39
CUST0280,Perempuan,Member,Silver,Bogor,Kecantikan,26.0,82.0,11.0,42.0,3.2,8500.97
CUST0281,Laki-laki,Member,Silver,Jakarta,Fashion,44.0,61.0,23.0,93.0,4.1,11164.54
CUST0282,Laki-laki,Member,Silver,Yogyakarta,Makanan,20.0,24.0,117.0,474.0,3.6,42009.44
CUST0283,Laki-laki,Non-Member,Bronze,Pekanbaru,Otomotif,30.0,24.0,28.0,111.0,4.6,8406.74
CUST0284,Perempuan,Non-Member,Bronze,Yogyakarta,Kesehatan,23.0,50.0,56.0,229.0,3.3,16472.66
CUST0285,Perempuan,Member,Platinum,Makassar,Elektronik,47.0,28.0,17.0,66.0,,10831.76
CUST0286,Perempuan,Member,Platinum,Surabaya,Mainan Anak,37.0,14.0,63.0,256.0,5.0,37139.94
CUST0287,Perempuan,Non-Member,Silver,Makassar,Otomotif,57.0,78.0,7.0,28.0,3.3,6475.26
CUST0288,Laki-laki,Member,Gold,Palembang,Elektronik,37.0,80.0,85.0,326.0,3.7,40900.73
CUST0289,Laki-laki,Member,Bronze,Makassar,Perabot Rumah,39.0,26.0,38.0,153.0,3.0,12319.76
CUST0290,Perempuan,Non-Member,Gold,Depok,Kecantikan,29.0,38.0,45.0,174.0,4.3,19080.94
CUST0291,Laki-laki,Member,Silver,Yogyakarta,Elektronik,38.0,55.0,41.0,163.0,3.0,17590.85
CUST0292,Laki-laki,Member,Silver,Malang,Elektronik,29.0,67.0,88.0,345.0,2.5,33867.43
CUST0293,Laki-laki,Member,Silver,Semarang,Perabot Rumah,33.0,66.0,14.0,54.0,4.9,8462.29
CUST0294,Perempuan,Non-Member,Gold,Depok,Makanan,31.0,73.0,52.0,205.0,3.2,23338.56
CUST0295,Laki-laki,Member,Bronze,Yogyakarta,Makanan,50.0,42.0,50.0,209.0,3.5,17167.21
CUST0296,Laki-laki,Non-Member,Bronze,Jakarta,Elektronik,59.0,60.0,111.0,439.0,3.9,166411.0
CUST0297,Perempuan,Member,Silver,Bogor,Makanan,18.0,53.0,54.0,208.0,3.4,21112.55
CUST0298,Perempuan,Non-Member,Bronze,Pekanbaru,Buku,29.0,20.0,55.0,215.0,4.6,15177.3
CUST0299,Laki-laki,Non-Member,Platinum,Malang,Otomotif,55.0,22.0,34.0,131.0,3.0,18635.06
CUST0300,Perempuan,Non-Member,Platinum,Bogor,Buku,32.0,0.0,72.0,297.0,3.0,36451.46
CUST0301,Laki-laki,Non-Member,Platinum,Batam,Kecantikan,42.0,15.0,2.0,8.0,3.8,2080.63
CUST0302,Laki-laki,Non-Member,Silver,Bandung,Buku,52.0,8.0,79.0,309.0,3.3,24641.86
CUST0303,Perempuan,Member,Bronze,Yogyakarta,Otomotif,38.0,7.0,70.0,268.0,3.9,21149.11
CUST0304,Laki-laki,Non-Member,Bronze,Depok,Gaming,36.0,35.0,31.0,128.0,4.4,9916.48
CUST0305,Perempuan,Non-Member,Silver,Jakarta,Buku,32.0,76.0,8.0,33.0,,6172.65
CUST0306,Laki-laki,Member,Bronze,Yogyakarta,Kecantikan,39.0,41.0,119.0,489.0,4.4,36855.46
CUST0307,Perempuan,Non-Member,Bronze,Batam,Fashion,55.0,26.0,104.0,399.0,3.9,27499.67
CUST0308,Perempuan,Member,Silver,Pekanbaru,Gaming,23.0,36.0,115.0,457.0,5.0,41107.4
CUST0309,Laki-laki,Non-Member,Platinum,Pekanbaru,Otomotif,39.0,19.0,56.0,221.0,4.3,29088.56
CUST0310,Laki-laki,Non-Member,Silver,Batam,Otomotif,35.0,47.0,73.0,305.0,3.8,25152.37
CUST0311,Perempuan,Non-Member,Bronze,Jakarta,Kecantikan,23.0,41.0,85.0,353.0,2.8,23709.94
CUST0312,Perempuan,Member,Silver,Makassar,Makanan,31.0,15.0,30.0,119.0,2.9,11472.75
CUST0313,Laki-laki,Member,Silver,Jakarta,Makanan,56.0,3.0,106.0,409.0,2.7,37465.47
CUST0314,Laki-laki,Member,Bronze,Palembang,Kesehatan,40.0,48.0,31.0,119.0,3.4,12149.71
CUST0315,Laki-laki,Non-Member,Gold,Depok,Travel,45.0,9.0,111.0,428.0,4.1,42574.85
CUST0316,Laki-laki,Non-Member,Bronze,Malang,Gaming,44.0,66.0,31.0,124.0,4.2,11396.74
CUST0317,Laki-laki,Member,Gold,Semarang,Kecantikan,46.0,2.0,27.0,112.0,3.7,12290.29
CUST0318,Laki-laki,Member,Platinum,Palembang,Olahraga,47.0,34.0,1.0,4.0,4.9,2678.15
CUST0319,Perempuan,Member,Bronze,Depok,Kecantikan,54.0,71.0,105.0,424.0,4.8,166727.0
CUST0320,Perempuan,Member,Silver,Semarang,Buku,20.0,72.0,29.0,120.0,3.3,14360.73
CUST0321,Perempuan,Non-Member,Silver,Bekasi,Makanan,40.0,28.0,107.0,434.0,3.1,33962.84
CUST0322,Perempuan,Member,Silver,Tangerang,Otomotif,31.0,41.0,19.0,76.0,3.2,8912.65
CUST0323,Laki-laki,Member,Bronze,Jakarta,Perabot Rumah,45.0,60.0,42.0,173.0,3.9,15685.86
CUST0324,Perempuan,Member,Silver,Jakarta,Kecantikan,34.0,4.0,110.0,434.0,4.8,37716.33
CUST0325,Perempuan,Member,Platinum,Bogor,Mainan Anak,56.0,1.0,86.0,333.0,3.4,49717.86
CUST0326,Laki-laki,Member,Gold,Bogor,Kecantikan,24.0,74.0,71.0,272.0,4.7,34248.7
CUST0327,Perempuan,Non-Member,Bronze,Jakarta,Otomotif,33.0,22.0,53.0,221.0,3.3,14770.78
CUST0328,Perempuan,Member,Bronze,Batam,Gaming,29.0,2.0,79.0,322.0,3.6,23819.71
CUST0329,Laki-laki,Non-Member,Platinum,Depok,Mainan Anak,37.0,33.0,37.0,148.0,3.7,20372.31
CUST0330,Perempuan,Non-Member,Silver,Malang,Travel,53.0,64.0,34.0,133.0,4.8,14058.43
CUST0331,Perempuan,Member,Gold,Jakarta,Otomotif,22.0,6.0,40.0,157.0,3.2,17740.48
CUST0332,Laki-laki,Non-Member,Silver,Surabaya,Buku,23.0,,6.0,24.0,4.5,5894.54
CUST0333,Laki-laki,Non-Member,Platinum,Surabaya,Elektronik,57.0,61.0,88.0,352.0,3.0,47430.04
CUST0334,Laki-laki,Non-Member,Silver,Bandung,Otomotif,27.0,76.0,5.0,20.0,3.7,5406.36
CUST0335,Laki-laki,Non-Member,Silver,Pekanbaru,Makanan,27.0,19.0,54.0,207.0,4.2,17222.84
CUST0336,Laki-laki,Member,Gold,Jakarta,Travel,26.0,83.0,15.0,58.0,4.7,10811.77
CUST0337,Laki-laki,Member,Bronze,Depok,Buku,26.0,69.0,73.0,296.0,,24992.04
CUST0338,Perempuan,Member,Bronze,Semarang,Travel,42.0,45.0,59.0,242.0,4.4,19803.01
CUST0339,Laki-laki,Member,Gold,Bandung,Buku,,47.0,108.0,419.0,3.5,48975.05
CUST0340,Laki-laki,Member,Bronze,Depok,Gaming,58.0,81.0,99.0,389.0,4.8,33259.78
CUST0341,Laki-laki,Member,Silver,Bogor,Buku,52.0,65.0,19.0,78.0,3.0,10526.93
CUST0342,Perempuan,Member,Silver,Tangerang,Perabot Rumah,48.0,17.0,7.0,27.0,4.1,3968.2
CUST0343,Perempuan,Member,Platinum,Pekanbaru,Kecantikan,36.0,,15.0,61.0,2.6,11733.15
CUST0344,Laki-laki,Non-Member,Bronze,Medan,Otomotif,40.0,36.0,114.0,436.0,3.1,30977.58
CUST0345,Perempuan,Member,Gold,Depok,Buku,57.0,72.0,74.0,299.0,3.6,36179.44
CUST0346,Perempuan,Member,Platinum,Medan,Travel,43.0,53.0,97.0,404.0,4.1,59094.62
CUST0347,Perempuan,Member,Silver,Pekanbaru,Travel,29.0,48.0,18.0,71.0,4.8,8900.68
CUST0348,Perempuan,Member,Bronze,Semarang,Perabot Rumah,34.0,9.0,116.0,446.0,4.6,34007.63
CUST0349,Perempuan,Non-Member,Gold,Semarang,Elektronik,31.0,69.0,67.0,267.0,3.6,28799.9
CUST0350,Laki-laki,Member,Bronze,Semarang,Makanan,23.0,22.0,101.0,384.0,4.6,29880.74
CUST0351,Laki-laki,Member,Gold,Semarang,Mainan Anak,18.0,21.0,1.0,4.0,2.5,1938.38
CUST0352,Perempuan,Member,Bronze,Medan,Mainan Anak,42.0,43.0,113.0,464.0,4.2,35046.87
CUST0353,Laki-laki,Non-Member,Silver,Bandung,Gaming,41.0,40.0,93.0,386.0,4.5,30346.35
CUST0354,Perempuan,Member,Bronze,Jakarta,Makanan,49.0,72.0,81.0,316.0,3.4,27274.39
CUST0355,Perempuan,Non-Member,Silver,Semarang,Gaming,56.0,8.0,65.0,248.0,2.7,20501.18
CUST0356,Perempuan,Non-Member,Silver,Palembang,Elektronik,,43.0,101.0,385.0,3.6,33429.31
CUST0357,Laki-laki,Non-Member,Silver,Yogyakarta,Travel,,59.0,47.0,193.0,4.0,17456.33
CUST0358,Laki-laki,Non-Member,Gold,Makassar,Buku,41.0,24.0,29.0,115.0,3.9,12007.09
CUST0359,Laki-laki,Member,Bronze,Bekasi,Olahraga,58.0,1.0,9.0,35.0,3.8,3165.69
CUST0360,Perempuan,Member,Bronze,Jakarta,Kecantikan,29.0,68.0,106.0,418.0,,34568.64
CUST0361,Laki-laki,Member,Bronze,Yogyakarta,Gaming,20.0,15.0,75.0,301.0,3.9,22315.32
CUST0362,Laki-laki,Member,Gold,Surabaya,Fashion,56.0,58.0,23.0,95.0,3.8,13640.44
CUST0363,Perempuan,Member,Platinum,Tangerang,Fashion,38.0,44.0,108.0,422.0,3.9,64878.28
CUST0364,Laki-laki,Member,Bronze,Jakarta,Olahraga,28.0,51.0,118.0,453.0,3.6,37024.11
CUST0365,Laki-laki,Non-Member,Silver,Semarang,Otomotif,34.0,18.0,40.0,166.0,4.0,13293.79
CUST0366,Laki-laki,Member,Platinum,Malang,Travel,56.0,36.0,19.0,75.0,4.3,13721.55
CUST0367,Laki-laki,Non-Member,Bronze,Surabaya,Kesehatan,35.0,42.0,68.0,266.0,2.8,19757.44
CUST0368,Perempuan,Member,Bronze,Tangerang,Travel,38.0,56.0,88.0,340.0,2.9,28429.64
CUST0369,Laki-laki,Member,Bronze,Jakarta,Olahraga,24.0,32.0,57.0,231.0,4.9,18037.61
CUST0370,Perempuan,Member,Gold,Yogyakarta,Elektronik,50.0,48.0,98.0,390.0,4.4,45492.29
CUST0371,Laki-laki,Member,Bronze,Surabaya,Kecantikan,53.0,39.0,46.0,190.0,4.4,15489.31
CUST0372,Perempuan,Non-Member,Bronze,Pekanbaru,Buku,56.0,40.0,106.0,407.0,3.1,29780.41
CUST0373,Perempuan,Non-Member,Silver,Bandung,Perabot Rumah,30.0,66.0,78.0,327.0,4.0,27192.32
CUST0374,Laki-laki,Non-Member,Silver,Jakarta,Makanan,49.0,38.0,89.0,352.0,4.7,29105.73
CUST0375,Laki-laki,Non-Member,Bronze,Semarang,Gaming,33.0,56.0,113.0,466.0,3.8,31557.78
CUST0376,Perempuan,Member,Bronze,Semarang,Elektronik,31.0,26.0,106.0,427.0,4.7,31967.12
CUST0377,Perempuan,Member,Bronze,Batam,Fashion,31.0,68.0,103.0,397.0,2.9,33195.35
CUST0378,Laki-laki,Member,Bronze,Yogyakarta,Olahraga,34.0,57.0,71.0,288.0,3.9,23526.39
CUST0379,Laki-laki,Non-Member,Bronze,Makassar,Fashion,36.0,1.0,25.0,100.0,3.0,6199.4
CUST0380,Perempuan,Member,Silver,Malang,Kesehatan,33.0,8.0,116.0,448.0,3.8,40541.97
CUST0381,Laki-laki,Non-Member,Bronze,Palembang,Buku,38.0,59.0,106.0,427.0,4.1,29571.76
CUST0382,Perempuan,Member,Bronze,Semarang,Fashion,52.0,62.0,36.0,144.0,4.8,14202.13
CUST0383,Laki-laki,Member,Gold,Bekasi,Makanan,,57.0,26.0,105.0,2.8,13787.39
CUST0384,Laki-laki,Non-Member,Silver,Palembang,Kecantikan,,9.0,117.0,487.0,3.9,35729.9
CUST0385,Laki-laki,Non-Member,Bronze,Medan,Otomotif,47.0,61.0,80.0,307.0,4.4,23003.92
CUST0386,Laki-laki,Non-Member,Gold,Bogor,Kesehatan,34.0,68.0,13.0,51.0,4.1,8273.65
CUST0387,Perempuan,Non-Member,Silver,Yogyakarta,Perabot Rumah,34.0,37.0,53.0,203.0,4.9,18099.64
CUST0388,Perempuan,Member,Silver,Bandung,Otomotif,45.0,8.0,81.0,317.0,2.6,29311.03
CUST0389,Perempuan,Member,Bronze,Semarang,Olahraga,20.0,38.0,10.0,41.0,3.5,4277.24
CUST0390,Laki-laki,Member,Silver,Yogyakarta,Elektronik,39.0,42.0,15.0,62.0,2.9,7632.75
CUST0391,Perempuan,Member,Silver,Yogyakarta,Buku,39.0,81.0,117.0,466.0,4.5,44861.83
CUST0392,Perempuan,Member,Silver,Pekanbaru,Otomotif,23.0,0.0,30.0,118.0,2.8,10731.92
CUST0393,Laki-laki,Member,Silver,Pekanbaru,Kesehatan,48.0,46.0,89.0,354.0,,33418.48
CUST0394,Perempuan,Member,Bronze,Bandung,Travel,50.0,16.0,94.0,374.0,2.9,28239.55
CUST0395,Laki-laki,Non-Member,Bronze,Pekanbaru,Gaming,40.0,77.0,5.0,20.0,2.9,6056.49
CUST0396,Perempuan,Member,Silver,Palembang,Kesehatan,35.0,38.0,96.0,377.0,4.5,35463.83
CUST0397,Perempuan,Non-Member,Gold,Palembang,Otomotif,33.0,48.0,20.0,82.0,4.2,10510.76
CUST0398,Laki-laki,Member,Silver,Palembang,Mainan Anak,28.0,59.0,54.0,225.0,4.6,22301.74
CUST0399,Perempuan,Member,Bronze,Surabaya,Mainan Anak,18.0,31.0,2.0,8.0,2.6,2448.1
CUST0400,Perempuan,Member,Platinum,Batam,Fashion,42.0,56.0,22.0,92.0,4.3,15766.09
CUST0401,Laki-laki,Member,Silver,Batam,Makanan,18.0,38.0,68.0,277.0,4.8,24897.87
CUST0402,Perempuan,Member,Silver,Batam,Travel,39.0,37.0,112.0,470.0,3.2,40843.13
CUST0403,Perempuan,Non-Member,Silver,Jakarta,Kesehatan,31.0,77.0,13.0,54.0,3.2,7997.9
CUST0404,Perempuan,Non-Member,Bronze,Depok,Mainan Anak,48.0,18.0,100.0,388.0,,26455.5
CUST0405,Laki-laki,Member,Silver,Jakarta,Kecantikan,46.0,35.0,28.0,110.0,4.9,11974.66
CUST0406,Perempuan,Non-Member,Bronze,Batam,Gaming,46.0,2.0,98.0,388.0,3.5,24836.57
CUST0407,Laki-laki,Member,Silver,Jakarta,Travel,39.0,23.0,57.0,219.0,5.0,21558.12
CUST0408,Laki-laki,Non-Member,Silver,Malang,Kesehatan,51.0,27.0,90.0,357.0,3.2,29158.72
CUST0409,Laki-laki,Member,Silver,Medan,Makanan,56.0,37.0,40.0,165.0,3.0,16297.37
CUST0410,Perempuan,Member,Silver,Tangerang,Elektronik,48.0,28.0,117.0,469.0,3.2,41815.63
CUST0411,Laki-laki,Non-Member,Bronze,Medan,Olahraga,44.0,75.0,93.0,356.0,3.2,26996.91
CUST0412,Perempuan,Member,Gold,Bogor,Perabot Rumah,26.0,20.0,106.0,443.0,3.8,46756.65
CUST0413,Laki-laki,Member,Silver,Medan,Elektronik,52.0,80.0,74.0,303.0,3.9,30378.16
CUST0414,Perempuan,Non-Member,Bronze,Depok,Makanan,53.0,25.0,60.0,246.0,4.0,16439.4
CUST0415,Perempuan,Member,Gold,Bekasi,Olahraga,29.0,81.0,76.0,296.0,4.7,36789.56
CUST0416,Perempuan,Non-Member,Silver,Malang,Otomotif,52.0,34.0,48.0,185.0,2.7,15960.51
CUST0417,Laki-laki,Member,Silver,Batam,Kesehatan,27.0,75.0,2.0,8.0,,4611.18
CUST0418,Perempuan,Member,Bronze,Yogyakarta,Mainan Anak,22.0,53.0,9.0,38.0,3.9,5601.83
CUST0419,Laki-laki,Member,Bronze,Depok,Mainan Anak,36.0,59.0,27.0,107.0,3.8,11034.26
CUST0420,Perempuan,Non-Member,Bronze,Palembang,Olahraga,28.0,34.0,114.0,441.0,4.4,30537.01
CUST0421,Laki-laki,Member,Silver,Bandung,Kecantikan,26.0,44.0,80.0,318.0,,29998.38
CUST0422,Laki-laki,Non-Member,Bronze,Jakarta,Buku,35.0,62.0,27.0,112.0,3.1,10422.75
CUST0423,Laki-laki,Non-Member,Silver,Pekanbaru,Makanan,32.0,82.0,35.0,143.0,4.5,15006.78
CUST0424,Perempuan,Non-Member,Bronze,Batam,Olahraga,32.0,83.0,70.0,274.0,,20962.78
CUST0425,Perempuan,Non-Member,Platinum,Bogor,Kecantikan,44.0,31.0,119.0,475.0,3.8,61718.62
CUST0426,Perempuan,Non-Member,Bronze,Palembang,Travel,22.0,43.0,4.0,17.0,3.6,3003.21
CUST0427,Laki-laki,Member,Bronze,Surabaya,Makanan,49.0,29.0,29.0,120.0,5.0,9466.48
CUST0428,Laki-laki,Member,Bronze,Malang,Elektronik,24.0,5.0,109.0,430.0,4.6,31764.32
CUST0429,Perempuan,Non-Member,Gold,Medan,Mainan Anak,22.0,75.0,116.0,442.0,4.1,47102.48
CUST0430,Perempuan,Non-Member,Bronze,Malang,Mainan Anak,54.0,27.0,3.0,12.0,4.7,2535.31
CUST0431,Perempuan,Member,Silver,Yogyakarta,Otomotif,52.0,39.0,112.0,436.0,3.4,41019.81
CUST0432,Perempuan,Non-Member,Silver,Malang,Elektronik,40.0,18.0,84.0,338.0,5.0,26105.61
CUST0433,Perempuan,Member,Gold,Jakarta,Makanan,48.0,78.0,44.0,173.0,4.8,23208.46
CUST0434,Laki-laki,Member,Platinum,Makassar,Mainan Anak,49.0,64.0,79.0,305.0,3.9,48388.56
CUST0435,Laki-laki,Member,Platinum,Bogor,Travel,33.0,70.0,3.0,12.0,3.6,166007.0
CUST0436,Perempuan,Non-Member,Gold,Tangerang,Gaming,47.0,50.0,97.0,407.0,4.2,40068.25
CUST0437,Laki-laki,Member,Silver,Makassar,Makanan,45.0,24.0,81.0,329.0,4.5,29262.19
CUST0438,Perempuan,Member,Bronze,Batam,Perabot Rumah,24.0,73.0,26.0,102.0,2.9,11348.25
CUST0439,Perempuan,Member,Silver,Palembang,Mainan Anak,26.0,12.0,5.0,21.0,4.9,2176.34
CUST0440,Laki-laki,Member,Silver,Tangerang,Kecantikan,36.0,40.0,65.0,265.0,3.6,25138.18
CUST0441,Perempuan,Member,Platinum,Makassar,Gaming,56.0,83.0,30.0,125.0,3.7,21375.24
CUST0442,Perempuan,Non-Member,Bronze,Makassar,Perabot Rumah,36.0,63.0,28.0,110.0,4.3,10760.2
CUST0443,Laki-laki,Member,Bronze,Medan,Kesehatan,58.0,48.0,108.0,419.0,3.3,33996.99
CUST0444,Laki-laki,Non-Member,Platinum,Yogyakarta,Olahraga,28.0,3.0,111.0,433.0,3.3,56876.32
CUST0445,Laki-laki,Member,Silver,Medan,Buku,40.0,42.0,98.0,379.0,3.0,35960.89
CUST0446,Laki-laki,Member,Silver,Palembang,Otomotif,19.0,24.0,10.0,42.0,4.5,4782.7
CUST0447,Laki-laki,Non-Member,Silver,Tangerang,Buku,23.0,34.0,45.0,176.0,4.2,15473.51
CUST0448,Laki-laki,Member,Bronze,Bandung,Buku,54.0,56.0,74.0,297.0,4.1,24348.68
CUST0449,Laki-laki,Non-Member,Bronze,Medan,Kesehatan,34.0,46.0,113.0,458.0,2.8,31161.9
CUST0450,Laki-laki,Member,Bronze,Makassar,Travel,18.0,74.0,55.0,227.0,3.9,20182.37
CUST0451,Perempuan,Member,Bronze,Makassar,Kesehatan,25.0,80.0,79.0,306.0,4.2,27532.68
CUST0452,Perempuan,Member,Gold,Yogyakarta,Buku,42.0,78.0,14.0,56.0,3.7,10028.7
CUST0453,Perempuan,Member,Gold,Batam,Buku,41.0,,110.0,422.0,2.5,49481.93
CUST0454,Perempuan,Member,Silver,Palembang,Olahraga,51.0,65.0,59.0,226.0,4.0,24180.79
CUST0455,Laki-laki,Member,Bronze,Malang,Olahraga,50.0,56.0,4.0,16.0,3.4,4215.04
CUST0456,Laki-laki,Non-Member,Bronze,Yogyakarta,Olahraga,47.0,0.0,36.0,146.0,4.3,9526.33
CUST0457,Perempuan,Non-Member,Silver,Tangerang,Elektronik,23.0,37.0,70.0,268.0,4.5,23298.55
CUST0458,Laki-laki,Non-Member,Bronze,Tangerang,Travel,47.0,10.0,117.0,447.0,4.8,29206.59
CUST0459,Laki-laki,Non-Member,Silver,Bogor,Buku,23.0,80.0,64.0,265.0,2.7,23467.15
CUST0460,Laki-laki,Non-Member,Silver,Medan,Perabot Rumah,43.0,19.0,72.0,293.0,3.8,22996.15
CUST0461,Perempuan,Member,Bronze,Pekanbaru,Elektronik,56.0,54.0,14.0,55.0,4.9,7211.25
CUST0462,Perempuan,Non-Member,Silver,Makassar,Buku,23.0,12.0,53.0,221.0,3.1,16692.26
CUST0463,Perempuan,Non-Member,Silver,Bogor,Perabot Rumah,47.0,14.0,85.0,334.0,4.0,26724.54
CUST0464,Perempuan,Member,Silver,Surabaya,Fashion,56.0,4.0,26.0,101.0,4.9,9491.07
CUST0465,Perempuan,Non-Member,Bronze,Tangerang,Otomotif,56.0,17.0,83.0,330.0,3.3,21790.93
CUST0466,Laki-laki,Member,Silver,Bandung,Gaming,24.0,30.0,66.0,262.0,2.6,24803.18
CUST0467,Laki-laki,Member,Bronze,Bandung,Olahraga,47.0,26.0,97.0,376.0,4.2,29594.83
CUST0468,Perempuan,Member,Gold,Yogyakarta,Olahraga,47.0,66.0,105.0,409.0,3.4,48693.07
CUST0469,Perempuan,Member,Silver,Tangerang,Olahraga,30.0,34.0,104.0,416.0,3.5,38019.04
CUST0470,Perempuan,Member,Bronze,Batam,Kesehatan,59.0,2.0,7.0,28.0,4.6,2523.81
CUST0471,Laki-laki,Non-Member,Bronze,Surabaya,Otomotif,52.0,23.0,10.0,41.0,3.2,3939.42
CUST0472,Perempuan,Member,Silver,Palembang,Travel,21.0,70.0,60.0,233.0,3.7,24525.68
CUST0473,Perempuan,Member,Bronze,Pekanbaru,Mainan Anak,40.0,51.0,61.0,253.0,4.3,20195.31
CUST0474,Perempuan,Member,Bronze,Bogor,Kesehatan,30.0,79.0,33.0,133.0,4.3,13799.63
CUST0475,Laki-laki,Member,Platinum,Bekasi,Kesehatan,35.0,42.0,102.0,424.0,2.6,60841.76
CUST0476,Perempuan,Member,Bronze,Jakarta,Otomotif,59.0,7.0,58.0,228.0,3.4,17614.83
CUST0477,Perempuan,Member,Platinum,Palembang,Elektronik,54.0,7.0,55.0,209.0,3.8,32424.81
CUST0478,Laki-laki,Member,Silver,Depok,Travel,50.0,76.0,38.0,152.0,3.0,17644.86
CUST0479,Perempuan,Non-Member,Bronze,Palembang,Travel,22.0,68.0,91.0,376.0,4.3,27092.64
CUST0480,Perempuan,Non-Member,Bronze,Semarang,Buku,56.0,55.0,39.0,150.0,4.4,13330.06
CUST0481,Perempuan,Member,Platinum,Jakarta,Olahraga,35.0,,43.0,174.0,3.5,25548.89
CUST0482,Laki-laki,Member,Silver,Batam,Buku,,39.0,39.0,157.0,3.6,15620.55
CUST0483,Laki-laki,Non-Member,Bronze,Semarang,Olahraga,25.0,5.0,116.0,444.0,2.5,29430.24
CUST0484,Laki-laki,Member,Bronze,Surabaya,Fashion,56.0,16.0,64.0,251.0,3.0,19919.95
CUST0485,Laki-laki,Member,Bronze,Jakarta,Buku,57.0,37.0,92.0,355.0,2.5,118436.0
CUST0486,Laki-laki,Member,Gold,Yogyakarta,Mainan Anak,43.0,21.0,77.0,318.0,3.0,34587.21
